1;1;855;Gyönyörűen süt a nap aznap reggel mikor a verseny résztvevői a hegy lábához sorakoznak. Lovad nem tud elég gyorsan rajtolni, ezért leszakadsz az élbojtól. Egy jó ideig haladsz előre a megfelelő irányba, de a nap kezd lemenni...;1: Folytatod az utat hegyre;95;2: Megállsz pihenni;75
6;1;439;Parázs patája megcsúszik a hegygerincen, teljesen elveszíted az irányítást. Lovad eleik. Valószínűleg megrándult a bal mellső lába. Úgy döntesz, nem folytatod tovább a versenyt, hiszen azzal kockáztatnád a lovad életét.;1;1;1;1
6;2;320;Megtalálod a hang forrását. Egy magas blue roan tobiano marwari kanca. A jobb mellső lába beszorult két szikla közé. A hátán egy fekete ugró nyereg, és egy nyereg formájú kék alátét. A fején a dupla szárak hakamore alatt fent maradt egy kék kötőfék is. ;1: Figyelmen kívül hagyod mivel csak hátráltatna;1;2: Odamész hozzá, segíteni neki;95
6;3;395;Óvatosan haladsz a vizes sziklákon. Ahogy az eső kezd elállni, kitisztul az ég. Meghallasz egy kétségbeesett nyerítést.;1: Megkeresed a hang forrását;95;2: Figyelem kívül hagyod, és begyorsítasz;1
6;4;489;Parázs patája megcsúszik a hegygerincen, teljesen elveszíted az irányítást. Lovad eleik. Valószínűleg megrándult a bal mellső lába. Úgy döntesz, nem folytatod tovább a versenyt, hiszen azzal kockáztatnád a lovad életét.;1;1;1;1
7;1;319;Ahogy elhaladsz a kanca mellett Parázs hirtelen felágaskodik, de rosszul érkezik visza a földre, és elesik. Valószínűleg megrándult a bal mellső lába. Úgy döntesz, nem folytatod tovább a versenyt, hiszen azzal kockáztatnád a lovad életét.;1;1;1;1
7;2;225;A kanca meglehetősen nyugtalan, de a te nyugodtságod  jó hatással van rá. Óvatosan kiszabadítod a lábát, leápolod a sebét. A kötőfékén annyi áll: ,,Moon", valószalószínűleg ez lehet a kanca neve.;1: Teszel egy kis kitérőt, és ott hagyod egy közeli városba;1;2: Úgy döntesz magaddal viszed;150
7;3;300;Megtalálod a hang forrását. Egy magas blue roan tobiano marwari kanca. a jobb mellső lába beszorult két szikla közé. A hátán egy fekete ugró nyereg, és egy nyereg formájú kék alátét. A fején a dupla szárak hakamore alatt fent maradt egy kék kötőfék is.;1: Figyelmen kívül hagyod mivel csak hátráltatna;160;2: Odamész hozzá, segíteni neki;1
7;4;394;Parázs patája megcsúszik a hegygerincen, teljesen elveszíted az irányítást. Lovad eleik. Valószínűleg megrándult a bal mellső lába. Úgy döntesz, nem folytatod tovább a versenyt, hiszen azzal kockáztatnád a lovad életét.;1;1;1;1
8;1;224;A városban nehezen kezelik, hogy két ló van az úton. Moon-t fellépteted a járdára, de eközben egy autó nekimegy Parázsnak, aki azonnal elesik. Az állatorvos szerencsére gyorsan kiér. A bal hátsó csánkja megzúzódott. Nehezen de fel tud állni, de az állatorvos szerint pár hét alatt rendbe jöhet. Úgy döntesz, nem folytatod tovább a versenyt, hiszen azzal kockáztatnád a lovad életét.;1;1;1;1
8;2;75;A két ló nagyon jól összeillik, jól müködnek együtt, energiát, kitartást adnak egymásnak.;1: Tartod a feszített tempót, bízva abban, hogy jól bírják;75;2: Megpróbálsz keresni egy rövidítő utat;1
8;3;140;A kanca meglehetősen nyugtalan, de a te nyugodtságod  jó hatással van rá. Óvatosan kiszabadítod a lábát, leápolod a sebét. A kötőfékén annyi áll: ,,Moon", valószalószínűleg ez lehet a kanca neve.;1: Teszel egy kis kitérőt, és ott hagyod egy közeli városba;1;2: Úgy döntesz magaddal viszed;140
8;4;299;Ahogy elhaladsz a kanca mellett Parázs hirtelen felágaskodik, de rosszul érkezik visza a földre, és elesik. Valószínűleg megrándult a bal mellső lába. Úgy döntesz, nem folytatod tovább a versenyt, hiszen azzal kockáztatnád a lovad életét.;1;1;1;1
9;1;0;Kilovagolsz a sziklák közül, és megpillantod a célt. Parázs nyugodt vágtában átvágja a célvonalat, közvetlenül mögötte igyekszik Moon is tartani a tempót. A kanca gazdája nem kerül elő, úgy döntesz magaddal viszed.;1;1;1;1
9;2;74;Fellovagolsz egy sziklás dombra, de Parázs megcsúszik és elesik. Valószínűleg megrándult a jobb mellső lába. Úgy döntesz, nem folytatod tovább a versenyt, hiszen azzal kockáztatnád a lovad életét.;1;1;1;1
9;3;139;A városban nehezen kezelik, hogy két ló van az úton. Moon-t fellépteted a járdára, de eközben egy autó nekimegy Parázsnak, aki azonnal elesik. Az állatorvos szerencsére gyorsan kiér. A bal hátsó csánkja megzúzódott. Nehezen de fel tud állni, de az állatorvos szerint pár hét alatt rendbe jöhet. Úgy döntesz, nem folytatod tovább a versenyt, hiszen azzal kockáztatnád a lovad életét.;1;1;1;1
