1;1;1045;Gyönyörűen süt a nap aznap reggel mikor a verseny résztvevői az erőbe értek. A versenyre rengeteg résztvevő jelentkezett. Lovad nem tud elég gyorsan rajtolni, ezért leszakadsz az élbojtól. Egy jó ideig haladsz előre a megfelelő irányba, de a nap kezd lemenni...;1: Lepihensz a fák között;95;2: Lepihensz a tisztáson;100
6;1;689;Ahogy elhaladsz a tó mellett, Sodashi egy iszaposabb részre lép, és megcsúszik. Valószínűleg megrándult a bal mellső lába. Úgy döntesz, nem folytatod tovább a versenyt, hiszen azzal kockáztatnád a lovad életét.;1;1;1;1
6;2;590;A tisztás kevésbé csúszik, így tudtok gyorsaítani;1: Fellovagolsz a sziklák közé;1;2: Keresel egy rövidebb utat;90
6;3;733;Tovább indulsz a cél felé, de Sodashi hirtelen megtorpan, és megcsúszik az avaron. Valószínűleg megrándult a bal mellső lába. Úgy döntesz, nem folytatod tovább a versenyt, hiszen azzal kockáztatnád a lovad életét.;1;1;1;1
6;4;585;Leszállasz Sodashi nyergéből, és közelebb mész a ménhez. Az állat nyugtalan, de a te higgadtságod jó hatással van rá. Meglátod, hogy a lába be van akadva a hevederbe, vaalmint rátekeredett a gyeplő is. Valószínűleg menekülés közben ejthette magát mégnagyobb csapdába. Levágod róla a sok szíjat, csak a kötőféket hagyod a fején. A kötőfék oldalán a következő állt: ,,Silver". Valószínűleg ez lehet a mén neve. Bekötöd a ló lábán lévő sebet.;1: Beviszed a városba, mivel úgyis útba esik, és nem fog tovább lassítani;2;2: Magddal viszed a célig;130
7;1;589;Fellovagolsz a sziklák közé. A kövek csúszósak. Sodashi kilép a szikla szélére, de megcsúszik a patája és elsesik. valószínűleg megránthatta a bal hátsó lábát. Úgy döntesz, nem folytatod tovább a versenyt, hiszen azzal kockáztatnád a lovad életét.;1;1;1;1
7;2;500;Sikerült találnod egy rövidebb utat, amivel egyre jobban kezdesz felzárkózni a többi versenyzőhöz, de Sodashi egyre fáradtabb, többször is visszaelik vágtából.;1: Kilovagolsz a tópartra;120;2: Tovább galoppozol a lovad jelzésétől függetlenül;1
7;3;583;A városban nehezen kezelik, hogy két ló van az úton. Silver-t fellépteted a járdára, de eközben egy autó nekimegy Sodashi-nak, aki azonnal elesik. Az állatorvos szerencsére gyorsan kiér. A jobb hátsó csánkja megzúzódott. Nehezen de fel tud állni, de az állatorvos szerint pár hét alatt rendbe jöhet. Úgy döntesz, nem folytatod tovább a versenyt, hiszen azzal kockáztatnád a lovad életét.;1;1;1;1
7;4;455;Egy vezetőszárat teszel Silver-re és tovább haladtok a tisztáson. Téged is meglep, hogy a csődör szinte lehadja Sodashit.;1: Úgy látod mindkét ló jó ütemben halad, tartod a gyors tempót;160;2: Belovagolsz a városba;2
8;1;499;A többszöri ellenkezés ellenére is tovább vágtatsz. Sodashi két galoppüteme között összeesik. A kanca elretül a fák között, nehézkesen veszi a levegőt. Láthatóan kimerült. Úgy döntesz, nem folytatod tovább a versenyt, hiszen azzal kockáztatnád a lovad életét.;1;1;1;1
8;2;380;Beérsz a tó partjára, Sodashi lehajol inni. A víz felszínén egy nem túl távolról jövő kétségbeesett nyerítés terjed.;1: Megkeresed a hang forrását;100;2: Figyelmen kívül hagyod, és azonnal gyorsítani kezdesz;1
8;3;443;A városban nehezen kezelik, hogy két ló van az úton. Silver-t fellépteted a járdára, de eközben egy autó nekimegy Sodashi-nak, aki azonnal elesik. Az állatorvos szerencsére gyorsan kiér. A jobb hátsó csánkja megzúzódott. Nehezen de fel tud állni, de az állatorvos szerint pár hét alatt rendbe jöhet. Úgy döntesz, nem folytatod tovább a versenyt, hiszen azzal kockáztatnád a lovad életét.;1;1;1;1
8;4;295;A két ló nagyon jól összeillik, jól müködnek együtt, energiát, kitartást adnak egymásnak.;1: Tartod a feszített tempót, bízva abban, hogy jól bírják;100;2: A sziklák felöl kerülsz;2
9;1;379;Ahogy elrajtolsz a tó mellől, Sodashi egy iszaposabb részre lép, és megcsúszik. Valószínűleg megrándult a bal mellső lába. Úgy döntesz, nem folytatod tovább a versenyt, hiszen azzal kockáztatnád a lovad életét.;1;1;1;1
9;2;280;Megtalálod a hang forrását. Hatalmas almásderes luzitán mén fekszik a tó partján, könyékig elmerült az iszapban. A hátán egy díjlovagó nyereg volt, az alátéte az iszaptól nehezen látszik, de valószínűleg sötétzöld lehetett, a lábáról leszakadt az ínvédő. A fején egy mexikói kantár felett volt egy duplaszáras hakamore, és egy szörmés bélésű sötétzöld kötőfék. Ahogy közelebb mész látszik, hogy a bal hátsó ínvédőjét teljesen átitatta a vér. Valószínűleg megsérült. A gazdája nincsen sehol, teljesen magára hagyta.;1: Közelebb mész, hogy segíts neki;150;2: Figyelmen kívül hagyod, hogy behozd a saját lemaradásodat;1
9;3;293;Fellovagolsz egy sziklás dombra, de Sodashi megcsúszik és elesik. Valószínűleg megrándult a jobb mellső lába. Úgy döntesz, nem folytatod tovább a versenyt, hiszen azzal kockáztatnád a lovad életét.;1;1;1;1
9;4;195;A két ló továbbra is nagyon gyors tempót tudnak tartani, de Sodashi kezd elfáradni, többször is felveszi magát vágtából. Ezzel szemben Silver pörög, és húzza szinte maga után a kancát...;1: Lassítasz, hogy Sodashi pihenni tudjon;60;2: Tartod a tempót Silverrel;2
10;1;279;Ahogy elrajtolsz a mén mellől Sodashi hirtelen megtorpan, ami miatt megcsúszik az iszapon, és elesik. Valószínűleg megrándult a bal mellső lába. Úgy döntesz, nem folytatod tovább a versenyt, hiszen azzal kockáztatnád a lovad életét.;1;1;1;1
10;2;130;Leszállasz Sodashi nyergéből, és közelebb mész a ménhez. Az állat nyugtalan, de a te higgadtságod jó hatással van rá. Meglátod, hogy a lába be van akadva a hevederbe, vaalmint rátekeredett a gyeplő is. Valószínűleg menekülés közben ejthette magát mégnagyobb csapdába. Levágod róla a sok szíjat, csak a kötőféket hagyod a fején. A kötőfék oldalán a következő állt: ,,Silver". Valószínűleg ez lehet a mén neve. Bekötöd a ló lábán lévő sebet.;1: Beviszed a városba, mivel úgyis útba esik, és nem fog tovább lassítani;1;2: Magddal viszed a célig;130
10;3;193;Többszöri ellenkezés ellenére is tovább vágtatsz. Sodashi két galoppüteme között összeesik, magával rántva Silvert is. A kanca elretül a fák között, nehézkesen veszi a levegőt. Láthatóan kimerült. Úgy döntesz, nem folytatod tovább a versenyt, hiszen azzal kockáztatnád a lovad életét.;1;1;1;1
10;4;135;Sodashi kellően kipihente magát ahhoz, hogy az utolsó nap kellően tudj gyorsítani.;1: Rövidítesz a tó felé;2;2: Maradsz a szabványos úton;135
11;1;129;A városban nehezen kezelik, hogy két ló van az úton. Silver-t fellépteted a járdára, de eközben egy autó nekimegy Sodashi-nak, aki azonnal elesik. Az állatorvos szerencsére gyorsan kiér. A jobb hátsó csánkja megzúzódott. Nehezen de fel tud állni, de az állatorvos szerint pár hét alatt rendbe jöhet. Úgy döntesz, nem folytatod tovább a versenyt, hiszen azzal kockáztatnád a lovad életét.;1;1;1;1
11;2;0;Kilovagolsz a fák közül, és megpillantod a célt. Sodashi minden erejét bedobja, hogy a lehető leggyorsabban vágtájában átvágja a célvonalat, közvetlenül mögötte Silver tökéletes galoppban tartja veletek a tempót, ami mindekttőtöket meglep. A mén gazdája nem kerül elő, ezért úgy döntesz magaddal viszed.;1;1;1;1
11;3;133;Ahogy elhaladsz a tó mellett, Sodashi egy iszaposabb részre lép, és megcsúszik, ezzel magával rántva Silvert is. Valószínűleg megrándult a bal mellső lába. Úgy döntesz, nem folytatod tovább a versenyt, hiszen azzal kockáztatnád a lovad életét.;1;1;1;1
